nama_dokumen,summary_bert
Kualifikasi_Rama Dian Syah.txt,"3. 1 tahapan penelitian tahapan penelitian dibagi atas beberapa tahapan yang dilakukan dari awal sampai akhir. tahap dimulai dari studi literatur sampai analisis yang membentuk alur secara sistematis. pada penelitian ini mengajukan pengembangan algoritma kriptografi citra digital dengan mengkombinasi teknik konfusi dengan algoritma cat map dan henon map serta teknik menghantarkan gambar. nilai psnr = 30 db membuktikan kualitas yang baik pada citra asli atau citra terdekripsi ( lone et al., 2021 )."
Kualifikasi_Remigius.txt,"dalam proses pengembangan sistem pembelajaran arsitektur berbasis metaverse ini, peneliti juga ingin menunjukkan perlunya keterlibatan komunitas dan persepsi pengguna bidang arsitektur agar sistem pembelajaran yang dihasilkan sesuai dengan kebutuhan dan harapan mereka dalam meningkatkan efektivitas pembelajaran arsitektur itu sendiri. diharapkan, sistem ini dapat memberi kemudahan kepada komunitas dosen dan mahasiswa dalam mempelajari berbagai sisi arsitektur dengan memasuki dunia virtual dan mereka dapat memahami materi yang diajarkan serta memecahkan permasalahan arsitektur yang dihadapi secara interaktif, kolaboratif, dan imersif dengan solusi tepat tanpa harus mencari berbagai referensi wujud nyata arsitektur dunia fisik atau dunia nyata. dengan konsep pembelajaran matakuliah perkembangan arsitektur yang disimulasi - kapabilitas, pembelajaran secara online ini dapat dilakukan dengan pembelajaran arsitektur yang dikembangkan secara online, terutama terkait perkembangan arsitektur. metode pembelajaran ini dilakukan dalam mencapai tujuan utama, yaitu pengembangan sistem pendidikan arsitektur."
Miftakhul Zaen_KUALIFIKASI.txt,"3. 1 tahapan penelitian dalam penelitian mengenai pengembangan algoritma dbscan dengan kuantum terdapat langkah - langkah yang dilakukan, seperti pada gambar 3. data tahap awal dalam penelitian di awali dengan pembuatan data, dimana data sintetik juga bersifat fleksibel karena jumlah data yang digunakan dapat ditentukan sesuai dengan kebutuhan pengujian algoritma yang dikembangkan."
Ragmar Faikar Eka_Kualifikasi.txt,"bab metode penelitian menjelaskan mengenai tahapan yang dilakukan dalam penelitian ini serta menjelaskan mengenai kegiatan yang dilakukan mulai dari studi literatur sampai dengan kesimpulan, jadwal dan estimasi penelitian digambarkan dalam bentuk time table untuk menjadwalkan dan melakukan estimasi waktu dari tiap tahap yang dilakukan. 3. 1 tahapan penelitian dijelaskan dalam bentuk flowchart sehingga dapat menjelaskan proses yang dilakukan baik mulai dari penelitian ini, setelah mempelajarinya dengan menggunakan mobilenetv3 ( convolutional block attention module ), lalu dilakukan preprocession untuk memperbanyak dan memvariasi data agar dan hasil augmentasi akan dijadikan sebagai sebagai data latih untuk model yang dibuat, data tersebut akan model tahap ketiga yaitu pembuatan model tahap kelima yaitu pembuatan 4. 1. 2 pengumpulan data yang dibuat pada model tahap keempat pembuatan model machine learning yang dibuat. 4. 2 penelitian tahap keempat yaitu pembuatan formrocrocessing module yang dilakukan, data diperoleh dari hasil pelatihan model tahap pengujian model tahap kedua yaitu pembuatan foto, data yang sudah dilakukan, 3. 2 tahap pengembangan model tahap keenam yaitu membuat model tahap ini dilakukan dengan pemilihan gambar, resize menjadi ukuran 224x3 ( small / large ). gambar asli akan dilakukan resize, dan digabungkan pada model yang sudah dibuat pada penelitian ini akan dilakukan pengujian menggunakan fitur yang digunakan pada"
Reviana Siti Mardiah_Kualifikasi.txt,3. 1 tahapan penelitian tahapan penelitian merupakan gambaran dari langkah langkah atau proses yang akan dilakukan dalam suatu penelitian. tahap an kedua adalah membuat model manajemen persediaan beras perum bulog berdasarkan hasil wawancara awal dengan pihak terkait.
Reza Al Husna_Kualifikasi.txt,"3. 1 tahapan penelitian secara garis besar penelitian ini terdiri dari beberapa tahapan, yaitu akuisisi data, pre - processing data, pengembangan dan pelatihan model, pengujian dan evaluasi model, serta pengembangan sistem deteksi penyakit daun kakao, ditunjukkan pada gambar 3. 3. 2 akuisisi data dan pengembangan system deteksi penyakit tanaman kakao dikumpulkan secara langsung oleh peneliti ( data primer ) dan juga menggunakan data yang dikumpulkan oleh peneliti lain ( data sekunder ). terdapat 4 kelas penyakit dan satu kelas daun sehat yang akan digunakan dalam penelitian ini, yaitu : daun sehat, penyakit antraknosa ( fsd ), penyakit leaf blotch dan penyakit cocoa swollen shoogram blot ( cssvd ), karena terdapat pada kebun kakao di daerah kabupaten solok ), perubahan warna serta tekstur permukaan daun tanaman kakao. dataset sekunder akan digunakan umum oleh para peneliti lain terkait penyakit, seperti bintik kecil atau lesi pada pipeline neighboration ( l ). metode ini dengan mengambil nilai piksel terdekat menggunakan dataset yang telah digunakan untuk menentukan nilai piksel baru dalam citra asli untuk menentukan kapan ( wn ) yang akan diubah ukurannya menjadi seragam ( h1, perubahan bentuk pixogram )."
Robert_Kualifikasi.txt,"4. 1 alur penelitian gambar 3. 1 menunjukkan metode penelitian. terdapat 5 tahap utama yang akan dilakukan, yang pertama adalah studi literatur untuk menyusun bab 1 dan bab 2. tahap kedua adalah pengumpulan citra ekspresi wajah ( data citra berupa data primer dan data sekunder ). tahap terakhir adalah pembentukan dataset untuk tiap model ( svm, cnn, dan mnn ). pada tahap keempat dilakukan pembentukan model, khusus untuk svm dan cnn menggunakan model pada penelitian ( robert, 2023 ), sedangkan mnn menggunakan usulan pada penelitian ini. kemudian semua performa dari tiap model akan dibandingkan satu sama lain, dan juga dianalisis pada bab 4. metode penelitian 3. pelatihan dan pengujian untuk semua model akan digunakan penelitian ini, yaitu : marah, jijik, menangis, sedih, senang, sedih ( tanpa ekspresi ) dan juga menggunakan data yang dikumpulkan secara langsung oleh peneliti karena tidak mampu meningkatkan variasi dataset dari setiap model yang dikumpulkan oleh peneliti lain ( data primer )."
Tatya Atyanti Paramastri_Kualifikasi.txt,"3. 1. alur penelitian 1. identifikasi masalah identifikasi masalah dilakukan supaya permasalahan yang diangkat jelas. metode klasifikas yang umum digunakan adalah cnn. namun tidak banyak masyarakat yang masih mengetahui nama, makna dan pemakaian dari masing - masing motif batik."
Tia Haryanti_Kualifikasi.txt,"4. 1 kerangka umum penelitian ini bertujuan untuk mengembangkan sistem deteksi dini kantuk sebelum berkendara dengan menggunakan kombinasi data visual berupa data citra wajah dan data fisiologis. kondisi pre - driving mengacu pada kondisi sebelum pengemudi memulai perjalanan, sehingga sistem ini sangat penting untuk mencegah risiko kecelakaan di jalan. sistem ini mengintegrasikan teknologi pengenalan wajah dan analisis data fisiologis untuk memberikan deteksi yang lebih akurat. blok diagram secara umum yang digunakan pada penelitian ini dapat dilihat pada gambar 3. 1 blok diagram. model convolutional neural network ( cnn ) digunakan untuk mengekstraksi fitur dari data citra gambar yang merupakan data visual, sementara long short - term memori ( spo2 ) digunakan posel dan pulse oximeter untuk menghasilkan vector fitur gabungan, sementara short - processing dan data visual. fitur - fitur yang diekstraksi dari kedua j enis data fisiologis yang bersifat time - series ( lstm digunakan untuk memproses data citra citra gambar dan lstm ) digunakan pada kedua model ini digabungkan untuk mengkoreksional dan pemrosesan data fisiologis menggunakan kamera, serta data citra visual. desain yang dikembangkan untuk mengkon fitur gabungan."
Utami Lestari_Kualifikasi.txt,"penelitian ini bertujuan untuk mengembangkan aplikasi berbasis large language model ( llm ) dengan arsitektur gpt - 4 yang mampu melakukan telaah sejawat ( peer review ) secara otomatis pada artikel ilmiah dari jurnal komputer. data utama yang digunakan adalah artikel ilmiah berbahasa indonesia dalam bidang ilmu komputer dari berbagai jurnal akademik. sebelum digunakan, data akan diperiksa untuk menghilangkan informasi pribadi yang dapat mengidentifikasi penulis atau reviewer. aplikasi ini diharapkan dapat membantu para peneliti dan editor jurnal dalam menganalisis dan memperoleh wawasan dari artikel yang seringkali bersifat kompleks dan teknis. untuk melakukan penelitian ini perlu dilakukan beberapa tahapan hingga penelitian selesai, tahapan yang dilaukan mulai dari pengumpulan data, preprocessing model yang telah dikumpulkan kemudian mengevaluasi model dan validasi ahli jurnal menganalisis model. hasil penelitian ini melibatkan beberapa tahap yang bertujuan untuk membersihkan dan menyiapkan data teks agar sesuai dengan kebutuhan model serta meningkatkan kualitas dan konsistensi representasi dari teks menjadi unit - unit yang lebih kecil yang dikenal sebagai tokenisasi."
Yoga Panji Perdana Nugraha_Kualifikasi.txt,"3. 1 motivasi industri manufaktur memiliki berbagai macam produk yang ada di dalamnya. dalam upaya pemenuhan kualitas yang tinggi serta menjaga kepuasan pelanggan dan reputasi perusahaan maka mendeteksi produk yang cacat sedini mungkin merupakan aspek yang penting. pengembangan aplikasi pendeteksi cacat pada produk ini didasari keinginan peneliti untuk meningkatkan kinerja pengendalian kualitas pada industri manufaktur sehingga dapat membantu menjaga kualitas produk serta efisiensi dalam kegiatan pengendalian kualitas. tahap awal kegiatan yang dilakukan pada tahap awal ini adalah merancang dan membuat prototype alat deteksi cacat objek sehingga bisa menjadi referensi untuk pembaca serta penelitian selanjutnya. untuk meminimalisir pemborosan waktu, bahan baku, biaya dan sumber daya lainnya karena deteksi cacat pada produknya dilakukan sedation atau pengumpulan data cacat objek. gambar 3. 2 alur kerja riset digambarkan melalui aplikasi yang akan digunakan untuk melakukan pengembangan aplikasi yang dikembangkan."
